交林,东城,1室1厅,40.97,简装,顶层,1988年建板楼,南 北,房屋满两年-近地铁
民安小区东直门内北小街,东城,2室1厅,77.08,精装,中楼层,2003年建板楼,东 西,房屋满五年
帽儿胡同45号院,东城,3室1厅,59.39,简装,中楼层,1985年建板楼,南 北,房屋满五年-近地铁
正东国际大厦,东城,2室1厅,146.93,精装,中楼层,2004年建塔楼,东,近地铁
安乐林二条,东城,2室1厅,78.82,简装,顶层,板楼,南 北,无标签
永定门东街西里,东城,2室1厅,50.77,毛坯,中楼层,1970年建板楼,南 北,房屋满五年-近地铁
琉璃井路,东城,2室1厅,62.07,毛坯,高楼层,1987年建板塔结合,南 北,近地铁
和平里五区,东城,1室1厅,40.98,精装,高楼层,1996年建板楼,东南,房屋满两年-近地铁
东中街,东城,1室1厅,47.11,简装,低楼层,板楼,南,房屋满五年-近地铁
营房西街,东城,1室1厅,41.49,精装,高楼层,1990年建板楼,南,近地铁
花市枣苑三期,东城,1室0厅,45.53,精装,中楼层,2005年建塔楼,北,房屋满五年-近地铁
雅安国际公寓,东城,2室1厅,134.22,精装,低楼层,2005年建塔楼,东南,房屋满五年-近地铁
东直门外大街(东城）,东城,3室1厅,88.38,精装,中楼层,板楼,南 北,房屋满五年-近地铁
兴隆都市馨园,东城,1室0厅,28.6,精装,低楼层,2004年建塔楼,南,房屋满两年-近地铁
光明西里,东城,2室1厅,58.11,精装,中楼层,板楼,南 北,房屋满五年
中海紫御公馆,东城,2室2厅,92.29,精装,中楼层,2010年建板塔结合,东 南 北,房屋满五年
本家润园C区,东城,1室1厅,48.94,精装,低楼层,2005年建板塔结合,北,房屋满五年-近地铁
胡家园小区,东城,2室1厅,56.32,简装,中楼层,1985年建板楼,南 北,房屋满五年-近地铁
冠城名敦道A区,东城,2室1厅,74.8,精装,顶层,2010年建塔楼,西,房屋满五年
东直门外大街(东城）,东城,3室1厅,79.23,简装,高楼层,1990年建板楼,南 北,房屋满五年-近地铁
东后河沿,东城,1室1厅,57.53,精装,高楼层,1999年建板楼,南,房屋满五年
南竹杆胡同,东城,3室1厅,81.96,精装,中楼层,2003年建板楼,南 北,房屋满两年
培新街乙5号院,东城,2室1厅,69.03,精装,中楼层,1999年建板塔结合,东 西,房屋满五年
工体西路,东城,1室1厅,54.17,精装,中楼层,板楼,南 北,房屋满五年
东直门内大街,东城,2室1厅,65.09,其他,低楼层,2002年建塔楼,东南,房屋满五年-近地铁
地坛北里,东城,2室1厅,55.25,精装,中楼层,板楼,南 北,房屋满五年-近地铁
火桥北里,东城,2室1厅,39.54,精装,中楼层,1976年建板楼,南 北,房屋满五年-近地铁
东直门北大街,东城,3室1厅,77,精装,中楼层,板楼,南,近地铁
