lng,lat,type
116.026427,39.70719,5
116.329497,39.98585,41
116.422179,39.871242,41
116.274334,39.915337,3433
116.520743,39.802664,3
116.371054,39.957717,3
116.345664,39.897761,3
116.350173,40.027994,41
115.943368,39.623875,41
116.284546,39.924225,5
116.327447,39.982611,4
116.482337,40.047389,41
116.453261,39.824793,41
116.461615,39.936824,3
116.843597,39.804023,41
116.356623,39.906982,4
116.550704,39.798373,41
116.504808,40.0456,4
116.285979,39.975569,3
116.483199,39.893253,41
116.461653,39.907443,3
116.283836,40.02148,3
116.49531,40.009827,4
116.906049,39.776665,2354
117.208559,40.118546,41
116.513907,39.983263,41
116.367563,39.8971,4
116.226546,40.205279,3399
116.296141,39.935256,41
116.544142,39.909869,3
116.709037,39.880389,41
116.616881,39.803221,41
116.62564,39.633014,41
116.486934,39.859052,2357
116.475188,39.845236,41
117.136164,40.412711,2424
116.457031,39.832969,2338
116.297591,39.830421,41
116.310202,39.896609,41
116.679458,39.836391,41
116.459861,39.985266,3
116.31361,39.845759,4
116.468024,39.867976,41
116.373736,39.914119,4
116.451828,39.905702,4
116.477386,39.987677,41
116.12789,39.925646,41
116.38106,39.973123,2357
116.732482,39.884925,41
115.816826,39.664207,5
116.342995,39.907162,3246
116.238656,39.933281,5
116.493453,39.783675,3
116.319175,39.907599,41
116.674852,40.017509,4
116.330375,39.897101,3400
116.437787,39.893697,5
116.049191,39.972152,4
116.355304,39.937621,4
116.321105,39.883906,41
116.434103,39.92718,41
116.339507,39.793128,50052
116.357924,40.017264,41
116.4532,39.958534,41
116.721819,39.853035,2431
116.259574,39.816134,41
116.509263,39.799304,2357
116.179529,39.926225,5
116.204092,39.924823,41
116.614844,40.039893,41
116.356177,40.027996,1952
116.811522,39.761504,41
116.557029,40.077376,3
116.871859,40.385654,4
116.40606,39.832106,2354
116.632434,39.97877,2410
116.548541,39.885316,3
116.38399,40.153325,4
116.215963,40.326213,5
116.384149,39.987594,4
116.556739,39.733947,2338
116.488524,39.860767,3
116.040448,39.575371,2431
116.47256,40.157022,41
116.472708,39.992092,41
116.463111,39.93388,4
116.550628,40.210006,41
116.501562,39.937899,78
115.922095,39.733862,41
116.461727,39.950564,4
116.333258,40.068267,3
116.177612,39.923862,2518
116.334578,39.897379,41
116.301732,39.797897,4
116.435017,40.026332,3198
116.43602,39.904747,4
116.501463,39.910857,41
116.494412,40.004699,4
116.176812,39.907558,3433
116.109252,39.69123,41
116.235724,39.900922,4
116.327919,40.071296,2338
116.096436,39.885928,5
116.746445,40.136507,4
116.435874,39.908221,41
116.434798,39.91603,41
116.453895,39.933738,3
116.627742,39.902861,1952
116.344084,40.02686,5
116.288029,39.828046,78
116.425703,39.939913,41
116.353644,39.985445,41
116.433868,39.933803,3
116.542545,40.008112,2431
116.323409,39.506038,41
116.761234,40.218439,4
116.511867,40.011918,4
116.884887,39.716075,41
116.419037,39.89258,4
116.482901,39.90843,3400
116.421561,39.958567,41
116.788222,40.177108,41
116.489146,39.955463,4
116.489044,39.988204,41
116.53752,39.941379,3
116.405806,39.933219,3
116.339532,40.041527,4
116.511558,40.008082,41
116.310247,39.897831,5
116.636183,40.055407,41
116.63067,40.02157,2587
116.524618,40.119756,41
116.324516,39.967273,3
116.751517,40.345278,2431
116.363837,39.886896,3
116.616018,39.853988,2392
116.216292,40.199954,41
116.636024,40.341659,41
116.328909,39.901919,41
116.35714,39.740478,2357
116.838462,40.151743,3
116.288865,39.932137,2431
116.461853,39.923903,4
116.227736,39.897112,3
116.417312,39.945933,41
115.925753,39.628066,2357
116.485052,40.013333,41
116.221137,40.216147,5
116.290028,39.831753,4
116.385078,39.863745,41
116.434798,39.893661,41
116.220978,40.215556,2357
116.437699,40.061545,3
116.358626,39.939472,2357
116.364283,39.946147,4
116.468154,39.961882,3
116.374991,39.766055,41
116.347906,39.861716,41
116.427253,39.924461,2338
116.664084,39.900691,3
116.626814,39.956241,41
116.610012,40.027954,4
116.487388,39.974116,41
116.805602,39.707454,41
116.400824,39.923468,41
116.386819,39.999125,5
115.995118,39.868085,2357
116.352864,39.898985,4
116.53234,39.959216,3
116.305418,40.035056,41
116.763274,39.818971,4
116.433901,39.820657,2357
116.428401,39.791546,5
116.047586,40.317339,41
116.876561,39.80116,2431
116.455548,39.935689,2392
116.99843,40.424117,2431
116.489875,39.895289,41
116.387396,39.993949,41
116.296722,40.024474,3
116.596572,40.052969,41
116.489898,39.890625,3
116.429563,39.949921,2342
116.629493,40.08061,41
116.461423,39.952183,41
116.567888,39.765202,2431
116.501998,40.000783,5
116.212073,39.928099,2357
116.309947,39.917764,3
116.449253,39.618503,3433
116.312979,39.941066,41
116.710661,40.170363,3
116.823509,39.802401,41
116.684204,40.347263,2338
116.642043,40.20127,41
116.273978,39.903766,3
116.108802,40.268702,3
116.328978,39.693388,41
116.845326,40.349776,3433
116.243146,39.983887,2357
116.490638,39.783496,50052
116.584305,39.888888,3
115.900031,39.57807,3
116.405264,39.933413,3
116.700598,39.85673,3
116.642203,40.715735,41
116.195914,39.788547,41
116.091299,39.683154,41
116.328088,39.89097,2411
116.537147,39.815192,3
116.458052,39.932799,41
116.461692,39.933161,3
116.289849,39.841393,4
116.306017,39.513053,2357
116.367133,39.746791,2357
116.369994,39.976176,41
116.310439,39.900695,41
116.597205,40.052649,41
116.413378,39.873391,4
116.686694,40.039408,2431
116.437309,40.008445,41
116.34452,39.936385,41
116.708487,39.878192,3
116.497703,40.031441,4
116.321013,39.878436,41
116.377593,39.900058,3
116.671149,39.71342,41
115.893645,40.358119,3
116.43225,40.079494,41
116.457945,39.97882,41
116.39194,39.933398,4
116.475073,39.967509,3
116.374037,39.910502,41
116.450943,39.956123,5
116.316916,39.98548,41
116.341712,39.776042,41
116.461867,39.910693,2357
116.378974,39.968703,3
116.126944,39.744532,3
116.428455,39.788317,4
116.577086,39.899641,41
116.40393,39.988208,41
116.429649,39.871049,5
116.524546,40.119929,2431
116.490013,39.942073,41
116.243145,40.045734,2431
116.636153,40.057213,1952
116.398125,39.886475,5
116.70019,40.392087,4
116.334929,39.895087,3313
116.322742,40.102059,4
116.208769,39.764331,3
116.568414,40.006769,4
116.119712,39.917929,2357
116.586689,40.075832,4
116.843353,40.374897,4
116.460021,39.92858,3
116.683553,39.985825,4
116.443882,39.858418,87
116.784681,40.092381,4
116.375802,39.860439,4
116.146025,40.132415,3
115.772162,40.525428,41
116.449383,39.908534,2354
116.797652,40.147552,3
116.482372,39.905368,5
116.535109,40.121985,41
116.283992,39.924164,2357
116.272399,39.897258,41
116.334419,39.97657,2338
116.329323,39.910962,4
116.346493,39.850034,41
116.471913,39.933629,4
116.707709,40.277439,2431
116.619513,40.132987,41
116.348401,39.703156,41
116.454729,39.818642,4
116.8571,40.39322,50052
116.464278,39.918463,3
115.981756,39.648707,5
116.720429,39.987583,2357
116.196263,39.808668,4
116.698028,39.740147,2431
116.483055,39.811562,78
116.308883,40.176192,3
116.286566,39.865157,3
116.44268,39.986906,2424
116.505073,39.935935,4
116.728645,39.722521,78
116.465788,39.893416,41
116.841527,39.857508,41
116.709997,39.883288,41
116.473037,39.802821,41
116.604605,39.812439,2431
116.058119,39.594942,2357
116.372352,40.022807,41
116.639465,40.081973,3
116.453894,39.76378,5
116.26493,40.095401,3
116.511183,40.222377,41
116.645155,40.313651,2431
116.591026,39.705704,2431
116.461668,39.930929,3
116.627296,40.274192,41
116.503134,39.744006,3
116.472265,39.808786,5
